review_id,appointment_id,rating,review_date
1,10036,3,2024-01-07
2,4006,4,2022-03-18
3,34279,2,2022-03-31
4,6265,4,2023-11-10
5,44674,4,2022-10-19
6,28220,3,2023-06-14
7,19305,4,2023-07-02
8,20242,3,2023-10-26
9,28551,3,2023-10-20
10,23402,4,2023-10-21
11,10617,4,2023-07-29
12,3199,4,2022-03-25
13,31321,4,2022-05-29
14,41754,5,2023-07-25
15,38571,3,2023-02-18
16,11712,4,2022-05-11
17,23707,4,2022-08-31
18,32612,4,2023-02-27
19,40379,5,2024-03-24
20,49127,4,2022-08-13
21,39541,4,2023-10-02
22,44216,5,2022-03-12
23,26631,5,2023-02-13
24,22050,5,2024-03-24
25,11988,4,2023-11-20
26,40320,4,2022-02-11
27,7813,3,2022-05-03
28,24798,3,2022-04-30
29,19650,4,2024-04-27
30,6798,2,2024-01-24
31,27097,4,2022-04-21
32,31006,3,2024-02-09
33,1791,4,2022-06-15
34,15657,5,2022-04-15
35,22693,5,2022-07-07
36,33226,2,2022-06-06
37,11470,4,2022-07-11
38,12550,5,2022-08-08
39,30255,3,2023-05-25
40,38835,5,2024-01-15
41,7560,4,2024-04-05
42,23739,4,2023-05-26
43,42022,5,2022-08-31
44,39238,3,2024-05-05
45,45210,4,2023-03-16
46,5508,5,2022-06-22
47,48421,2,2023-03-23
48,35705,4,2023-12-08
49,28449,5,2023-12-04
50,25765,3,2022-02-17
51,11817,5,2022-06-16
52,10408,4,2023-03-01
53,23343,4,2022-05-10
54,39194,4,2024-01-04
55,3550,3,2022-06-28
56,27505,5,2023-02-01
57,20853,5,2024-04-18
58,13385,4,2022-12-29
59,14724,5,2023-02-22
60,19229,4,2022-08-06
61,39591,4,2022-04-11
62,45860,4,2024-01-20
63,26170,4,2022-04-24
64,39853,4,2023-09-11
65,6582,5,2023-07-28
66,14650,4,2023-11-27
67,13817,2,2023-12-16
68,44867,3,2024-02-03
69,26481,4,2023-08-06
70,24265,4,2024-06-12
71,23290,4,2023-12-31
72,44365,4,2022-01-17
73,25263,4,2022-05-29
74,14492,4,2022-10-12
75,25547,4,2024-02-14
76,44788,4,2023-03-27
77,29306,4,2022-09-30
78,4561,5,2024-01-23
79,28183,4,2022-03-03
80,27295,2,2022-08-24
81,13869,3,2023-08-22
82,34347,2,2023-05-30
83,13773,4,2023-09-09
84,15772,4,2024-01-11
85,20310,4,2022-06-01
86,9909,4,2024-03-27
87,21562,3,2023-09-23
88,407,4,2023-10-05
89,37168,3,2022-03-12
90,29192,4,2024-01-30
91,24203,3,2022-04-30
92,29628,5,2023-11-02
93,15138,3,2022-02-08
94,48298,5,2022-12-11
95,41090,4,2022-10-28
96,12040,5,2023-11-28
97,11139,4,2022-03-21
98,20293,4,2023-01-18
99,11680,5,2023-08-16
100,30795,4,2022-01-03
101,41369,4,2022-08-08
102,46551,4,2023-05-28
103,26523,4,2022-01-05
104,2025,2,2022-07-24
105,1980,4,2023-06-25
106,24201,4,2023-09-18
107,25742,4,2022-08-19
108,18662,5,2023-10-23
109,38930,4,2022-06-14
110,42194,5,2024-03-06
111,40101,3,2023-03-22
112,13200,4,2022-03-02
113,21328,4,2023-03-14
114,46037,4,2022-07-17
115,32810,5,2022-10-24
116,41043,3,2023-12-01
117,22118,5,2023-05-09
118,11250,4,2023-03-08
119,9363,4,2022-05-04
120,3578,4,2022-09-24
121,27129,4,2022-05-08
122,4257,4,2023-07-26
123,38675,4,2022-07-15
124,7708,2,2024-02-21
125,27051,4,2022-04-01
126,31328,3,2022-01-25
127,32078,4,2024-05-01
128,38214,4,2023-09-07
129,14022,4,2023-03-19
130,2560,4,2023-04-13
131,31324,3,2022-09-23
132,28670,4,2024-04-25
133,13257,4,2023-06-12
134,22128,4,2024-05-29
135,30070,5,2023-03-07
136,3675,2,2022-08-13
137,8948,4,2022-03-30
138,12052,4,2023-12-01
139,42054,4,2023-09-10
140,37718,3,2023-11-08
141,44428,3,2022-12-04
142,41755,5,2022-10-30
143,16137,4,2023-10-10
144,31974,4,2022-05-26
145,31800,4,2023-10-22
146,22298,4,2022-05-15
147,401,3,2024-03-22
148,49683,4,2023-08-26
149,13594,4,2023-07-20
150,45559,5,2022-11-11
151,13433,3,2023-09-05
152,22081,4,2022-03-04
153,9356,4,2022-01-22
154,29572,4,2023-03-08
155,43225,4,2023-09-02
156,36904,4,2024-05-15
157,5362,5,2024-04-13
158,11660,4,2022-02-09
159,32185,4,2022-06-27
160,11034,5,2023-12-05
161,298,4,2023-03-08
162,34442,4,2023-05-31
163,35374,2,2023-08-18
